Date,Time,Content,From
‎31/08/19, 11:04:05 PM, ‎gif omitted, $h@lin!
‎03/09/19, 12:11:17 PM, MediaShared, Mr. Buddy
‎03/09/19, 12:11:28 PM, MediaShared, Mr. Buddy
‎03/09/19, 12:11:36 PM, MediaShared, Mr. Buddy
03/09/19, 2:14:31 PM, come out, $h@lin!
03/09/19, 2:15:11 PM, i'm not coming man, Mr. Buddy
03/09/19, 2:17:23 PM, ok go with loki and have some snacks at least, $h@lin!
03/09/19, 11:26:37 PM, had food or not?, $h@lin!
04/09/19, 8:06:00 AM, good morning, Mr. Buddy
04/09/19, 9:53:45 AM, good morning, $h@lin!
‎06/09/19, 11:59:46 AM, ‎gif omitted, $h@lin!
10/09/19, 2:23:28 PM, finished?, $h@lin!
11/09/19, 10:28:39 PM, hey, $h@lin!
11/09/19, 10:28:57 PM, q, Mr. Buddy
11/09/19, 10:28:57 PM, recession is in india?, $h@lin!
11/09/19, 10:29:14 PM, no, Mr. Buddy
11/09/19, 10:30:00 PM, 🤔, $h@lin!
11/09/19, 10:30:12 PM, what, Mr. Buddy
11/09/19, 10:31:07 PM, then where recession ll happen?, $h@lin!
11/09/19, 10:32:03 PM, no no economists are saying due to economic slowdown again recession may happen.... search internet you will know, Mr. Buddy
‎11/09/19, 10:39:32 PM, ‎gif omitted, $h@lin!
11/09/19, 10:39:48 PM, food?, $h@lin!
11/09/19, 10:39:56 PM, yes, Mr. Buddy
11/09/19, 10:39:56 PM, got my new specs, $h@lin!
11/09/19, 10:40:04 PM, great, Mr. Buddy
11/09/19, 10:40:10 PM, not feeling good 😑, $h@lin!
11/09/19, 10:40:22 PM, y, Mr. Buddy
11/09/19, 10:40:30 PM, mistakenly fall down.. 🙈, $h@lin!
11/09/19, 10:40:55 PM, that side frame has become loose😟, $h@lin!
11/09/19, 10:41:06 PM, i’m looking like aunty😫😫, $h@lin!
11/09/19, 10:41:15 PM, u r, Mr. Buddy
11/09/19, 10:41:26 PM, 🤬i’m not, $h@lin!
11/09/19, 10:43:08 PM, ‎you deleted this message., $h@lin!
11/09/19, 10:43:27 PM, especially that nose buds😕, $h@lin!
11/09/19, 11:14:57 PM, is it looking odd?, $h@lin!
‎12/09/19, 1:04:44 AM, ‎gif omitted, $h@lin!
‎12/09/19, 11:03:13 AM, ‎gif omitted, $h@lin!
12/09/19, 2:58:29 PM, come for food, $h@lin!
12/09/19, 2:58:45 PM, have little rice, $h@lin!
12/09/19, 4:58:42 PM, 🤬🤬🤬🤬🤬, $h@lin!
12/09/19, 4:58:52 PM, u have pressed all floors 🤬, $h@lin!
12/09/19, 6:35:14 PM, hey, $h@lin!
12/09/19, 6:35:23 PM, will have pain puri🧐, $h@lin!
12/09/19, 6:36:10 PM, do u have change???, $h@lin!
12/09/19, 6:36:25 PM, i forgot to draw money, $h@lin!
12/09/19, 6:36:42 PM, conductor ll not give change, $h@lin!
12/09/19, 6:39:10 PM, ohw sorry man, Mr. Buddy
12/09/19, 6:39:14 PM, i came very far, Mr. Buddy
12/09/19, 6:39:19 PM, i didn't see the message, Mr. Buddy
12/09/19, 6:39:25 PM, it’s ok, $h@lin!
12/09/19, 6:39:33 PM, withdrawn, $h@lin!
12/09/19, 6:39:47 PM, but i dnt no whether that conductor give change 😨, $h@lin!
12/09/19, 6:39:49 PM, ok, Mr. Buddy
12/09/19, 6:40:08 PM, go to some shop nearby, Mr. Buddy
12/09/19, 6:40:10 PM, in atm u dnt get 10s and 100s, $h@lin!
12/09/19, 6:40:14 PM, they will give, Mr. Buddy
12/09/19, 6:40:26 PM, all are automobile shops here, $h@lin!
12/09/19, 6:40:49 PM, ok leave anyway he have to give change, $h@lin!
12/09/19, 6:41:03 PM, two wordings he ll scold, $h@lin!
12/09/19, 6:41:05 PM, forget it, $h@lin!
12/09/19, 6:41:15 PM, reach safe.. dnt step on snake again, $h@lin!
12/09/19, 6:41:20 PM, okie, Mr. Buddy
12/09/19, 6:41:22 PM, you to, Mr. Buddy
12/09/19, 6:41:25 PM, too, Mr. Buddy
12/09/19, 6:41:37 PM, i ll not 😏, $h@lin!
12/09/19, 6:41:50 PM, ok, Mr. Buddy
12/09/19, 6:41:59 PM, ok?, $h@lin!
12/09/19, 6:42:05 PM, hate you, $h@lin!
12/09/19, 6:42:27 PM, ok, Mr. Buddy
12/09/19, 6:42:46 PM, i hate ok more than i hate you 🤬, $h@lin!
12/09/19, 6:49:38 PM, me too, Mr. Buddy
12/09/19, 6:50:09 PM, then stop sending ok🤬, $h@lin!
12/09/19, 6:50:54 PM, ok, Mr. Buddy
‎12/09/19, 6:51:28 PM, ‎gif omitted, $h@lin!
12/09/19, 6:51:41 PM, ok, Mr. Buddy
‎12/09/19, 6:52:18 PM, ‎gif omitted, $h@lin!
13/09/19, 12:14:30 AM, wake up abel ji.. wish ur macchi, $h@lin!
13/09/19, 10:24:44 AM, in leave?, $h@lin!
‎13/09/19, 1:01:48 PM, ‎gif omitted, $h@lin!
‎13/09/19, 4:28:50 PM, ‎gif omitted, $h@lin!
‎13/09/19, 4:29:44 PM, ‎gif omitted, $h@lin!
‎13/09/19, 4:30:38 PM, ‎gif omitted, $h@lin!
13/09/19, 6:33:56 PM, i hate you, $h@lin!
13/09/19, 6:34:33 PM, i didn’t believe that u had chicken in kfc🥺, $h@lin!
13/09/19, 6:34:37 PM, cheater, $h@lin!
13/09/19, 7:04:57 PM, 😂, Mr. Buddy
13/09/19, 7:11:29 PM, why u laughing, $h@lin!
13/09/19, 7:11:32 PM, u cheated, $h@lin!
13/09/19, 7:11:36 PM, cheater*, $h@lin!
13/09/19, 7:11:46 PM, no man we didn't go, Mr. Buddy
13/09/19, 7:11:59 PM, 😱, $h@lin!
13/09/19, 7:12:17 PM, dnt change.. i may not believe u next time, $h@lin!
13/09/19, 7:12:30 PM, i believed u so much, $h@lin!
13/09/19, 7:12:53 PM, tell the truth else i ll not believe u, $h@lin!
13/09/19, 7:13:02 PM, from next time, $h@lin!
13/09/19, 7:21:40 PM, i know u dnt lie in serious stuffs, $h@lin!
13/09/19, 7:21:57 PM, go and eat properly, $h@lin!
13/09/19, 7:22:48 PM, though u had i dnt mind.. chill, $h@lin!
‎13/09/19, 7:34:27 PM, MediaShared, $h@lin!
13/09/19, 7:35:21 PM, this much zoom with little clarity, $h@lin!
13/09/19, 8:31:35 PM, ignore the spam.. reached home?, $h@lin!
13/09/19, 8:47:35 PM, yes, Mr. Buddy
13/09/19, 8:47:36 PM, u, Mr. Buddy
