[31/08/19, 10:48:37 PM] Mr. Buddy: ‎Messages to this chat and calls are now secured with end-to-end encryption.
‎[31/08/19, 11:04:05 PM] $h@lin!: ‎GIF omitted
‎[03/09/19, 12:11:17 PM] Mr. Buddy: ‎image omitted
‎[03/09/19, 12:11:28 PM] Mr. Buddy: ‎image omitted
‎[03/09/19, 12:11:36 PM] Mr. Buddy: ‎image omitted
[03/09/19, 2:14:31 PM] $h@lin!: Come out
[03/09/19, 2:15:11 PM] Mr. Buddy: I'm not coming man
[03/09/19, 2:17:23 PM] $h@lin!: Ok go with Loki and have some snacks at least
[03/09/19, 11:26:37 PM] $h@lin!: Had food or not?
[04/09/19, 8:06:00 AM] Mr. Buddy: Good morning
[04/09/19, 9:53:45 AM] $h@lin!: Good morning
‎[06/09/19, 11:59:46 AM] $h@lin!: ‎GIF omitted
[10/09/19, 2:23:28 PM] $h@lin!: Finished?
[11/09/19, 10:28:39 PM] $h@lin!: Hey
[11/09/19, 10:28:57 PM] Mr. Buddy: Q
[11/09/19, 10:28:57 PM] $h@lin!: Recession is in India?
[11/09/19, 10:29:14 PM] Mr. Buddy: No
[11/09/19, 10:30:00 PM] $h@lin!: 🤔
[11/09/19, 10:30:12 PM] Mr. Buddy: What
[11/09/19, 10:31:07 PM] $h@lin!: Then where recession ll happen?
[11/09/19, 10:32:03 PM] Mr. Buddy: No no economists are saying due to economic slowdown again recession may happen.... search internet you will know
‎[11/09/19, 10:39:32 PM] $h@lin!: ‎GIF omitted
[11/09/19, 10:39:48 PM] $h@lin!: Food?
[11/09/19, 10:39:56 PM] Mr. Buddy: Yes
[11/09/19, 10:39:56 PM] $h@lin!: Got my new specs
[11/09/19, 10:40:04 PM] Mr. Buddy: Great
[11/09/19, 10:40:10 PM] $h@lin!: Not feeling good 😑
[11/09/19, 10:40:22 PM] Mr. Buddy: Y
[11/09/19, 10:40:30 PM] $h@lin!: Mistakenly fall down.. 🙈
[11/09/19, 10:40:55 PM] $h@lin!: That side frame has become loose😟
[11/09/19, 10:41:06 PM] $h@lin!: I’m looking like aunty😫😫
[11/09/19, 10:41:15 PM] Mr. Buddy: U r
[11/09/19, 10:41:26 PM] $h@lin!: 🤬I’m not
[11/09/19, 10:43:08 PM] $h@lin!: ‎You deleted this message.
[11/09/19, 10:43:27 PM] $h@lin!: Especially that nose buds😕
[11/09/19, 11:14:57 PM] $h@lin!: Is it looking odd?
‎[12/09/19, 1:04:44 AM] $h@lin!: ‎GIF omitted
‎[12/09/19, 11:03:13 AM] $h@lin!: ‎GIF omitted
[12/09/19, 2:58:29 PM] $h@lin!: Come for food
[12/09/19, 2:58:45 PM] $h@lin!: Have Little rice
[12/09/19, 4:58:42 PM] $h@lin!: 🤬🤬🤬🤬🤬
[12/09/19, 4:58:52 PM] $h@lin!: U have pressed all floors 🤬
[12/09/19, 6:35:14 PM] $h@lin!: Hey
[12/09/19, 6:35:23 PM] $h@lin!: Will have pain puri🧐
[12/09/19, 6:36:10 PM] $h@lin!: Do u have change???
[12/09/19, 6:36:25 PM] $h@lin!: I forgot to draw money
[12/09/19, 6:36:42 PM] $h@lin!: Conductor ll not give change
[12/09/19, 6:39:10 PM] Mr. Buddy: Ohw sorry man
[12/09/19, 6:39:14 PM] Mr. Buddy: I came very far
